إداري,موظف قطاع خاص,موظف
إداري,موظف قطاع عام,موظف
تعليمي,تعليمي,أستاذ
تعليمي,تعليمي,دكتور جامعة
تجاري,تاجر,تجارة عامة
تجاري,تاجر,تجارة مواد غذائية
تجاري,تاجر,تجارة مواد بناء
تجاري,تاجر,تجارة الألبسة
تجاري,تاجر,تجارة السيارات والدراجات
تجاري,تاجر,قطع غيار سيارات جديدة ومستعملة
تجاري,تاجر,تجارة البيض
تجاري,تاجر,اللحوم والدواجن
تجاري,تاجر,تجارة المواشي والأعلاف
تجاري,تاجر,تجارة مواد زراعية
تجاري,مكتبات,مكتبات
تجاري,مكتبات,قرطاسية
تجاري,مجوهرات وحلي,بيع المجوهرات والحلي
تجاري,تجهيزات مكتبية,تجهيزات مكتبية
تجاري,ستائر ومفروشات,ستائر
تجاري,ستائر ومفروشات,مفروشات و ديكور منزلي
تجاري,بناء و اكساء,مواد بناء
تجاري,بناء و اكساء,مواد إكساء
تجاري,بناء و اكساء,تجهيزات إنارة
تجاري,قطع الغيار,تجارة قطع غيار السيارات
تجاري,قطع الغيار,تجارة قطع تبديل المعدات
تجاري,المشروبات,تجارة المشروبات
تجاري,الكابلات والأسلاك,تجارة الكابلات والأسلاك
تجاري,آلات,تجارة الآلات والمعدات الصناعية
تجاري,غذائيات,توزيع المنتجات الغذائية
تجاري,زيوت ودهون,تجارة الزيوت المعدنية
تعليمي,تعليمي,مدارس
تعليمي,تعليمي,جامعات
تعليمي,تعليمي,معاهد
تعليمي,تعليمي,مراكز تدريب
تعليمي,تعليمي,مدارس خاصة
خدمي,سياحة,فنادق
خدمي,سياحة,مطاعم
خدمي,سياحة,كافيهات
خدمي,سياحة,مكاتب سياحة وسفر
خدمي,سياحة,منتزهات
خدمي,خدمي,محطات وقود وتوزيع محروقات
خدمي,خدمي,شركات نقل
خدمي,الطاقة البديلة,تركيب وصيانة الطاقة البديلة
خدمي,خدمي,شركات تخزين
خدمي,سياحة,تنظيم الرحلات
خدمي,سياحة,تقديم مشروبات
خدمي,خدمات النقل,شركات النقل والشحن
زراعي,الفلاحين,الفلاحين
زراعي,الفلاحين,مربي مواشي
صناعي,المشروبات,إنتاج العصائر
صناعي,المشروبات,تعبئة المياه المعدنية
صناعي,صناعي,صناعة و تجارة الألمنيوم
صناعي,صناعي,البلاستيك والمطاط
صناعي و تجاري,تجهيزات كهربائية,تجهيزات كهربائية
صناعي,صناعي,تجهيزات إنارة
صناعي,صناعي,مصانع الزيوت والدهون النباتية والحيوانية
